Crossresult Race ID	Race/Category Name	Average Points of top 10 finishers	Racer Count	Race Date	Region	Lat	Lon	Gender
3214	Kings International Cyclocross: Men UCI Elite Men  	151.538408357106	10	00:00.0	North Central	39.3600586	-84.309939	M
2453	Cross Vegas: Men Pro-1-2 Elite 	156.122187260598	10	00:00.0	California	36.255123	-115.2383485	M
2853	USGP #6: Derby City Cup Day 2: Men Pro/Cat 1  	156.199631965634	10	00:00.0	North Central	38.2526647	-85.7584557	M
2852	USGP #5: Derby City Cup Day 1: Men Pro/Cat 1  	159.245277043165	10	00:00.0	North Central	38.2526647	-85.7584557	M
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Men	161.559331606233	10	00:00.0	New England	42.6159285	-70.6619888	M
3115	USGP #7: Deschutes Brewery Cup: Men Cat A	161.612266926009	10	00:00.0	Pacific Northwest	44.0581728	-121.3153096	M
2782	Victory Circle Graphix Boulder Cup: Men UCI Elite 	163.034148751522	10	00:00.0	Mountain West	40.0149856	-105.2705456	M
2483	USGP Planet Bike Cup #2: Men Pro/Cat 1  	165.790574538782	10	00:00.0	North Central	43.1836046	-89.2137254	M
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Men	166.973687623011	10	00:00.0	New England	42.6159285	-70.6619888	M
2534	Providence Cyclocross Festival Day 1: UCI Elite Men                                     	168.500056839288	10	00:00.0	New England	41.8239891	-71.4128343	M
2482	USGP Planet Bike Cup #1: Men Pro/Cat 1  	168.916147636813	10	00:00.0	North Central	43.1836046	-89.2137254	M
3034	CXLA Sunday: Elite Men	169.157836313653	10	00:00.0	California	34.0522342	-118.2436849	M
3032	CXLA Saturday: Men Elite	169.84027633164	10	00:00.0	California	34.0522342	-118.2436849	M
2546	Providence Cyclocross Festival Day 2: UCI Elite Men	169.966959515871	10	00:00.0	New England	41.8239891	-71.4128343	M
2921	The 2012 UCI Carousel Volkswagen Jingle Cross Rock - Day 2: Men Cat 1/2  	170.284365449362	10	00:00.0	North Central	41.6611277	-91.5301683	M
3196	Cross Nationals Day 5: Men UCI Elite 	171.128235165736	10	00:00.0	North Central	42.990831	-89.5331773	M
2759	Colorado Cross Classic: Men Cat 1/2/3/4/5 Senior 	173.66770187176	10	00:00.0	Mountain West	40.0149856	-105.2705456	M
2784	Cycle-Smart International Day 1: UCI Elite Men	174.013359667787	10	00:00.0	New England	42.3250896	-72.6412013	M
2786	Cycle-Smart International Day 2: UCI Elite Men	175.324911644133	10	00:00.0	New England	42.3250896	-72.6412013	M
2426	Green Mountain Cyclocross Day 1: UCI Elite Men	176.466145995271	10	00:00.0	New England	44.4452778	-73.0991667	M
2619	USGP #4: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	177.215966382753	10	00:00.0	Mountain West	40.5852602	-105.084423	M
2922	The 2012 UCI Carousel Volkswagen Jingle Cross Rock Day 3: Elite men	178.081190477138	10	00:00.0	North Central	41.6611277	-91.5301683	M
2920	The UCI Carousel Volkswagen Jingle Cross Rock - Rock 1: Men Cat 1/2  	178.217555481101	10	00:00.0	North Central	41.6611277	-91.5301683	M
2617	USGP #3: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	178.260997515955	10	00:00.0	Mountain West	40.5852602	-105.084423	M
2799	Cincy3 Harbin Park: Men UCI Elite Men 1/2  	180.219920839615	10	00:00.0	North Central	39.3454673	-84.5603187	M
3182	Chicago Cyclocross Cup New Year's Resolution Day 2: Men Pro/Cat 1/2  	180.450504387295	10	00:00.0	North Central	41.9575285	-88.0809036	M
2428	Green Mountain Cyclocross Day 2: UCI Elite Men	180.634200170808	10	00:00.0	New England	44.4452778	-73.0991667	M
