Crossresult Race ID	Race/Category Name	Points to be predicted in 10th place	Race Date	Region	Lat	Lon	Gender
2453	Cross Vegas: Men Pro-1-2 Elite 	153.34	9/19/2012	California	36.255123	-115.2383485	M
3115	USGP #7: Deschutes Brewery Cup: Men Cat A	163.19	12/8/2012	Pacific Northwest	44.0581728	-121.3153096	M
3118	USGP #8: Deschutes Brewery Cup: Men Cat A	165.96	12/9/2012	Pacific Northwest	44.0581728	-121.3153096	M
2852	USGP #5: Derby City Cup Day 1: Men Pro/Cat 1  	166.27	11/10/2012	North Central	38.2526647	-85.7584557	M
2853	USGP #6: Derby City Cup Day 2: Men Pro/Cat 1  	166.27	11/11/2012	North Central	38.2526647	-85.7584557	M
2482	USGP Planet Bike Cup #1: Men Pro/Cat 1  	167.53	9/22/2012	North Central	43.1836046	-89.2137254	M
2483	USGP Planet Bike Cup #2: Men Pro/Cat 1  	167.53	9/23/2012	North Central	43.1836046	-89.2137254	M
2499	Great Brewers Gran Prix of Gloucester Day 1: UCI Elite Men	168.22	9/29/2012	New England	42.6159285	-70.6619888	M
2500	Great Brewers Gran Prix of Gloucester Day 2: UCI Elite Men	168.22	9/30/2012	New England	42.6159285	-70.6619888	M
2534	Providence Cyclocross Festival Day 1: UCI Elite Men                                     	169.76	10/6/2012	New England	41.8239891	-71.4128343	M
2617	USGP #3: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	169.84	10/13/2012	Mountain West	40.5852602	-105.084423	M
2619	USGP #4: SmartWool Cup p/b FC Bikes: Men Pro/Cat 1  	169.84	10/14/2012	Mountain West	40.5852602	-105.084423	M
2546	Providence Cyclocross Festival Day 2: UCI Elite Men	174.29	10/7/2012	New England	41.8239891	-71.4128343	M
3196	Cross Nationals Day 5: Men UCI Elite 	176.77	1/13/2013	North Central	42.990831	-89.5331773	M
2782	Victory Circle Graphix Boulder Cup: Men UCI Elite 	181.98	10/28/2012	Mountain West	40.0149856	-105.2705456	M
3214	Kings International Cyclocross: Men UCI Elite Men  	184.46	1/26/2013	North Central	39.3600586	-84.309939	M
2759	Colorado Cross Classic: Men Cat 1/2/3/4/5 Senior 	186.15	10/27/2012	Mountain West	40.0149856	-105.2705456	M
2784	Cycle-Smart International Day 1: UCI Elite Men	186.15	11/3/2012	New England	42.3250896	-72.6412013	M
2786	Cycle-Smart International Day 2: UCI Elite Men	186.15	11/4/2012	New England	42.3250896	-72.6412013	M
3034	CXLA Sunday: Elite Men	188.31	12/2/2012	California	34.0522342	-118.2436849	M
3032	CXLA Saturday: Men Elite	190.47	12/1/2012	California	34.0522342	-118.2436849	M
2799	Cincy3 Harbin Park: Men UCI Elite Men 1/2  	191.47	11/4/2012	North Central	39.3454673	-84.5603187	M
2800	Cincy3: Lionheart International at Kings CX: Men UCI Elite Men  	191.86	11/3/2012	North Central	39.3600586	-84.309939	M
2797	Cincy3 Cyclo-Stampede, p/b Darkhorse Racing: Men Elite Men 1/2  	191.86	11/2/2012	North Central	39.0836712	-84.5085536	M
3026	NBX Gran Prix Day 2: UCI Elite Men	193.73	12/2/2012	New England	41.7001009	-71.4161671	M
