Race Name	Location	UCI Status	Crossresults Race ID	
StarCrossed - Cross after Dark	Redmond, WA	C2	
Rapha-Focus GP	Issaquah, WA	C2	
Beacon cross	Bridgeton, NJ	C2	
Rohrbach's Ellison Park Cyclocross	Rochester, NY	C2	2420
Rohrbach's Ellison Park Cyclocross	Rochester, NY	C2	2421
Nittany Lion Cross	Breiningsville PA	C2	2437
Catamount Grand Prix - NECX	Williston, Vermont	C2	2426
Nittany Lion Cross	Breiningsville PA	C2	2443
Catamount Grand Prix - NECX	Williston, Vermont	C2	2428
CrossVegas - Cross After Dark	Las Vegas, Nevada	C1	2453
USGP of Cyclocross Planet Bike Cup	Sun Prairie, WI	C1	2482
Charm City Cross	Baltimore	C2	2469
USGP of Cyclocross Planet Bike Cup	Sun Prairie, WI	C2	2483
Charm City Cross	Baltimore	C2	2470
Gateway Cross Cup - Cross After Dark	Saint Louis Missouri	C2	2505
NEPCX - Gran Prix of Gloucester 1	Gloucester, MA	C1	2499
NEPCX - Gran Prix of Gloucester 2	Gloucester, MA	C2	2500
NEPCX - Providence Cyclo-cross Festival	Providence, RI	C1	2534
NEPCX - Providence Cyclo-cross Festival	Providence, RI	C2	2546
USGP of Cyclocross New Belgium Cup	Fort Collins, CO	C1	2617
USGP of Cyclocross New Belgium Cup	Fort Collins, CO	C2	2619
Downeast Cyclocross - NECX - Day 1	New Gloucester, ME	C2	2670
Spooky Cross Weekend - Day 1	Irvine, CA	C2	2735
Downeast Cyclo-cross - NECX - Day 2	New Gloucester, ME	C2	2672
Spooky Cross Weekend - Day 2	Irvine, CA	C2	2736
Boulder Cup	Boulder Colorado USA	C2	2782
HPCX	Jamesburg, New Jersey USA	C2	2739
Colorado Cross Classic	Boulder Colorado USA	C2	2759
Cincy3 Darkhorse Cyclo-Stampede	Covington, KY	C2	2797
Cincy3 - Lionhearts International - Cross After Dark	Cincinnati, Ohio	C2	2800
NEPCX - The Cycle-Smart International 1	Northampton, Massachusetts	C2	2784
Harbin Park International	Cincinnati, Ohio, United States	C1	2799
NEPCX - The Cycle-Smart International 2	Northampton, Massachusetts	C2	2786
USGP of Cyclocross Derby City Cup	Louisville, KY	C1	2852
USGP of Cyclocross Derby City Cup	Louisville, KY	C2	2853
The Jingle Cross Rock - Rock 1	Iowa City, Iowa	C2	2920
North Carolina Grand Prix - Race 1	Hendersonville, NC	C2	3142
Super Cross Cup	East Meadow NY	C2	3068
The Jingle Cross Rock - Rock 2	Iowa City, Iowa	C2	2921
The Jingle Cross Rock - Rock 3	Iowa City, Iowa	C1	2922
Super Cross Cup	East Meadow NY	C2	3070
North Carolina Grand Prix - Race 2	Hendersonville, NC	C2	3143
Baystate Cyclo-cross	Sterling, MA	C2	2950
Baystate Cyclo-cross - NECX	Sterling, MA	C2	2964
NEPCX - NBX Gran Prix of Cross - Day 1	Warwick, RI	C2	3025
CXLA Weekend - Cross after Dark	Los Angeles, CA	C2	3032
NEPCX - NBX Gran Prix of Cross - Day 2	Warwick, RI	C2	3026
CXLA Weekend	Los Angeles, CA	C2	3034
USGP of Cyclocross - Deschutes Cup	Bend, OR	C1	3115
USGP of Cyclocross - Deschutes Cup	Bend, OR	C2	3118
Chicago Cyclocross Cup New Year's Resolution	Bloomingdale, IL	C2	3181
Chicago Cyclocross Cup New Year's Resolution	Bloomingdale, IL	C2	3182
American National Championships	Madison, WI	CN	3196
Cincinnati Kings International	Cincinnati, Ohio, United States	C2	3214
